Term	Thai
card_fishing_spot_description	แหล่งน้ำที่เต็มไปด้วยปลา
card_fishing_spot_name	จุดตกปลา
card_fishing_spot_status	ตกปลา
card_friendly_pirate_description	มันได้เข้าร่วมข้างคุณแล้ว
card_friendly_pirate_name	โจรสลัดที่เป็นมิตร
card_frigate_description	สามารถใส่การ์ดได้ 25 ใบ ต้องชาวบ้านเพื่อเริ่มเดินเรือ ไม่สามารถบรรทุกอาคารได้
card_frigate_name	เรือรบ
card_glass_description	ทรัพยากรที่โปร่งใส
card_glass_name	กระจก
card_gold_bar_description	เป็นวัสดุที่เงางามและมีคุณค่ามาก
card_gold_bar_name	ทองคำแท่ง
card_gold_deposit_description	มันมีแร่ทองคำ
card_gold_deposit_name	สินแร่ทองคำ
card_gold_deposit_status	ขุดเงินสินแร่ทองคำ
card_gold_mine_description	ทรัพยากรแร่ทองคำไม่จำกัด
card_gold_mine_name	เหมืองทองคำ
card_gold_mine_status	ทำงานที่เหมืองทอง
card_gold_ore_description	สามารถเปลี่ยนเป็นทองคำแท่งได้
card_gold_ore_name	แร่ทองคำ
card_goop_description	เปื้อน ตะกอน ขยะ: มันคืออาหารบูด
card_goop_name	กู๊ป
card_greenhouse_description	อาคารไฮเทคสำหรับปลูกอาหาร ปลูกพืชทดแทนโดยอัตโนมัติ
card_greenhouse_name	เรือนกระจก
card_island_relic_description	นำไปไว้ที่มหาวิหาร
card_island_relic_name	ของระลึกที่เกาะ
card_jungle_description	ป่าที่ขึ้นชื่อเรื่องหนังสือ
card_jungle_name	ป่า
card_jungle_status	สำรวจป่า
card_kraken_description	โมโหเพราะคุณเอาของระลึกไป
card_kraken_name	คราเคน
card_lime_description	กลมๆและเปรี้ยว
card_lime_name	มะนาว
card_mackerel_name	ปลาแมคเคอเรล
card_mess_hall_description	ชาวบ้านจะให้ความสำคัญกับรับประทานอาหารที่อยู่ด้านบนเมสฮอลล์
card_mess_hall_name	เมสฮอลล์
card_message_in_a_bottle_description	ดูเหมือนว่าจะมีไอเดียอยู่ในนั้น
card_message_in_a_bottle_name	ข้อความในขวด
card_message_in_a_bottle_status	เปิดขวด
card_mine_description	ทรัพยากรแร่เหล็กไม่จำกัด
card_mine_name	เหมืองเหล็ก
card_mine_status	ทำงานที่เหมืองเหล็ก
card_momma_crab_description	บางทีคุณไม่ควรฆ่าปูเยอะไปนะ?
card_momma_crab_name	แม่ปู
card_monkey_description	อยากได้กล้วยจริงๆ
card_monkey_name	ลิง
card_parrot_description	พูดเหมือนคน บินได้เหมือนนก ทำให้โจรสลัดมีความสุข
card_parrot_name	นกแก้ว
card_pirate_boat_description	เรือที่เต็มไปด้วยโจรสลัด
card_pirate_boat_name	เรือโจรสลัด
card_pirate_boat_status	เราจะปล่อยให้คุณอยู่คนเดียวสำหรับ [count] เหรียญ..
card_pirate_description	กะลาสีเรือผู้โกรธเกรี้ยว
card_pirate_name	โจรสลัด
card_raw_crab_meat_description	ควรปรุงให้สุกก่อนบริโภค
card_raw_crab_meat_name	เนื้อปูดิบ
card_raw_fish_description	มันลื่น.
card_raw_fish_name	ปลาดิบ
card_rope_description	ยาวและมีเส้นใย
card_rope_name	เชือก
card_rowboat_description	สามารถพกพา์ดได้ 1 ใบ ต้องชาวบ้านเพื่อเริ่มเดินเรือ ไม่สามารถบรรทุกอาคารได้
card_rowboat_name	เรือพาย
card_sacred_chest_description	จำเป็นต้องมีกุญแจศักดิ์สิทธิ์จึงจะสามารถเปิดได้
card_sacred_chest_name	หีบศักดิ์สิทธิ์
card_sacred_key_description	หลอมด้วยแก้วและทอง ใช้สำหรับเปิดหีบศักดิ์สิทธิ์
card_sacred_key_name	กุญแจศักดิ์สิทธิ์
card_sail_description	ใช้สำหรับทำเรือ
card_sail_name	อู่เรือ
card_sand_description	ส่วนผสมหลักเพื่อชายหาดที่สวยงาม
card_sand_name	ทราย
card_sand_quarry_description	ทรัพยากรทรายไม่จำกัด
card_sand_quarry_name	เหมืองทราย
card_sand_quarry_status	ทำเหมืองแร่ที่เหมืองทราย
card_sandstone_description	ทางเลือกแทนหิน สามารถใช้กับอะไรก็ได้ที่หินจำเป็น
card_sandstone_name	หินทราย
card_seafood_stew_description	สตูว์สูตรชาวเกาะ อร่อย
card_seafood_stew_name	สตูว์ซีฟู้ด
card_seagull_description	นกขี้โมโห
card_seagull_name	นกนางนวล
card_seaweed_description	สลัดทะเล
card_seaweed_name	สาหร่ายทะเล
card_shark_description	ปลาตัวใหญ่ขี้วีนชนิดหนึ่ง
card_shark_name	ฉลาม
card_sheep_description	ปุกปุย!
card_sheep_name	แกะ
card_shell_chest_description	หีบที่สามารถเก็บเปลือกหอยได้
card_shell_chest_name	เปลือกหอย
card_shell_description	สกุลเงินหลักบนเกาะ
card_shell_name	เปลือก
card_sloop_description	สามารถใส่์ดได้ 10 ใบ ต้องชาวบ้านเพื่อเริ่มเดินเรือ ไม่สามารถบรรทุกอาคารได้
card_sloop_name	เรือใบเสากระโดงเดียว
card_smelter_description	แปรรูปวัสดุต่างๆ โดยถลุงมัน
card_smelter_name	โรงถลุง
card_smelter_status	ถลุง
card_snake_description	สิ่งมีชีวิตเลื้อยและมีพิษ
card_snake_name	งู
card_sugar_cane_description	มันคือหญ้ารสลูกกวาด
card_sugar_cane_name	อ้อย
card_sugar_cane_status	เก็บเกี่ยวอ้อย
card_sugar_description	หวานมาก!
card_sugar_name	น้ำตาลอ้อย
card_sushi_description	ของกินเลี้ยงแสนอร่อย
card_sushi_name	ซูชิ
card_tamago_sushi_description	ซูชิรสไข่
card_tamago_sushi_name	ทาโกะซูชิ
card_tentacle_description	กริ๊ง กริ๊ง กริ๊ง
card_tentacle_name	หนวด
card_tiger_description	เป็นแมวที่แข็งแกร่งมาก
card_tiger_name	เสือ
card_trained_monkey_description	สามารถช่วยคุณทำงานบ้านได้ กลับกลายเป็นลิงธรรมดาหลังสิ้นจันทรา
card_trained_monkey_name	ลิงฝึกหัด
card_treasure_map_description	เครื่องหมาย X  จำเป็นต้องค้นหากับชาวบ้าน
card_treasure_map_name	แผนที่สมบัติ
card_treasure_map_status	กำลังมองหาสมบัติ
card_tuna_name	ทูน่า
card_wool_description	ทรัพยากรที่อ่อนนุ่ม
card_wool_name	ขนสัตว์
cardtype_fish	ปลา
cardtype_rumors	ข่าวลือ
empty	
idea_aquarium_status_0	สร้างอาคารพิพิธภัณฑ์สัตว์น้ำ
idea_befriending_pirate_status	เป็นเพื่อนกับโจรสลัด
idea_bottle_status_0	ทำขวด
idea_cathedral_status_0	สร้างอาสนวิหาร
idea_ceviche_status	ทำเซวิเช่
idea_charcoal_status	ทำถ่าน
idea_charcoal_status_0	ทำถ่าน
idea_compass_status	ทำเข็มทิศ
idea_composter_status	อาคารปุ๋ยหมัก
idea_composting_status	ทำปุ๋ยหมัก
idea_cooked_crab_meat_status_0	ทำเนื้อปู
idea_cooked_fish_status_0	ปลาย่าง
idea_cracking_coconut_status	ทุบมะพร้าว
idea_distillery_status	อาคารโรงกลั่นสุรา
idea_eating_charcoal	กำจัดพิษ
idea_fabric_status	ทอผ้า
idea_filling_bottle_of_water	บรรจุขวด
idea_fish_trap_status	สร้างกับดักปลา
idea_fishing_rod_status	ทำเบ็ดตกปลา
idea_frigate_status0	สร้างเรือฟริเกต
idea_greenhouse_status_0	สร้างเรือนกระจก
idea_growth_name_status_10	ปลูกพริก
idea_growth_name_status_9	มะนาวที่กำลังเติบโต
idea_growth_status_6	ปลูกต้นกล้วย
idea_growth_status_7	ปลูกต้นมะพร้าว
idea_growth_status_8	ปลูกต้นฝ้าย
idea_mess_hall_status	อาคารเมสฮอลล์
idea_rope_status	ทำเชือก
idea_rowboat_status0	สร้างเรือพาย
idea_rum_status	ทำเหล้ารัม
idea_sacred_key_status0	หลอมกุญแจศักดิ์สิทธิ์
idea_sail_status0	แล่นเรือ
idea_sand_quarry_status	สร้างเหมืองทราย
idea_sandstone_status	สร้างหินทราย
idea_seafood_stew_status_0	ทำสตูว์ทะเล
idea_shell_chest_status_0	ทำหีบเปลือกหอย
idea_sloop_status0	สร้างสลุบ
idea_smelting_glass_status	เป่าแก้ว
idea_smelting_status_2	ถลุงทอง
idea_smelting_status_3	ทำเหรียญ
idea_sushi_status	ทำซูชิ
idea_tamago_sushi_status	ทำทามาโกะซูชิ
idea_training_captain_status	ฝึกกัปตัน
idea_training_fisher_status	ฝึกนักตกปลา
idea_training_monkey_status	ฝึกลิง
ideagroup_fishing	ตกปลา
ideagroup_important	สำคัญ
ideagroup_island	เกาะ
ideagroup_sailing	กองทัพเรือ
label_a_rumor	ข่าวลือ
label_awakened_something	คุณปลุกอะไรบางอย่าง..
label_awakened_the_kraken	มันคือคราเคน!
label_card_cap	จำกัดการ์ด
label_complete_more_island_quests_for_pack	<one>ทำภารกิจเกาะให้สำเร็จอีก 1 ครั้งเพื่อปลดล็อคแพ็กนี้!<other>ทำภารกิจเกาะให้สำเร็จอีก [remaining] เพื่อปลดล็อคแพ็กนี้!
label_everyone_on_island_dead	ทุกคนบนเกาะก็เสียชีวิต
label_everyone_on_island_dead_text	การ์ดของคุณจะอยู่ที่นี่เมื่อคุณกลับมา
label_island_intro_1	ยินดีต้อนรับสู่เกาะ
label_island_intro_2	ขณะที่อยู่ที่เกาะ คุณจะไม่ต้องดูแลแผ่นดินใหญ่
label_island_intro_3	คุณสามารถกลับไปยังแผ่นดินใหญ่ได้ตลอดเวลาโดยใช้เรือพาย
label_island_intro_4	เรือพายสามารถบรรทุกการ์ดได้เพียงใบเดียว - เรืออื่นๆ อนุญาตให้คุณนำการ์ดไปมาได้มากขึ้น
label_island_intro_5	หากชาวบ้านของคุณตายทั้งหมด คุณจะถูกส่งกลับไปยังแผ่นดินใหญ่
label_island_intro_6	ขอให้โชคดี!
label_island_intro_pack_text	คุณมีแพ็คสำหรับเอาชนะปีศาจ
label_island_intro_pack_title	ดี!
label_island_intro_title	เกาะ!
label_join_our_discord	เข้าร่วม Discord ของเรา
label_main_quests	ภารกิจหลัก
label_momma_crab_appeared_text	ดูเหมือนเธอจะโกรธ..
label_momma_crab_appeared_title	แม่ปูปรากฏตัวแล้ว
label_no_ideas_yet	คุณยังไม่พบไอเดียใด ๆ
label_one_villager_needs_to_stay	ชาวบ้านอย่างน้อยหนึ่งคนต้องอยู่บนแผ่นดินใหญ่
label_pirate_boat_appeared	เรือโจรสลัดก็ปรากฏตัวขึ้น
label_quests_complete_more_to_see	ทำภารกิจเพิ่มเติมให้เสร็จสิ้นเพื่อดูภารกิจถัดไป
label_return_to_mainland	กลับสู่แผ่นดินใหญ่
label_rumor_full	ข่าวลือ: [name]
label_sailing_off_title	แล่นเรือออก
label_save_game	<b>บันทึก [save_index]</b> - [percentage] เสร็จสมบูรณ์ - เล่นล่าสุด [date] วัน
label_save_games	บันทึกเกม
label_select_save	เลือกบันทึก
label_side_quests	ภารกิจรอง
label_start_new_save	<b>บันทึก [save_index]</b> - เริ่มบันทึกใหม่
label_status_effect	สถานะ: [status]
label_time	เวลา
label_you_killed_the_demon_lord	คุณฆ่าจอมมารแล้ว
pack_island_advanced_text	หมู่เกาะขั้นสูง
pack_island_cooking_text	ย่างและต้มเบียร์
pack_island_ideas1_text	เกาะแห่งความคิด
pack_island_ideas2_text	ข้อมูลเชิงลึกของเกาะ
pack_island_intro_text	เกาะ?
pack_island_locations_text	นักสำรวจวงล้อม
pack_island1_text	เกาะสดใหม่
pack_island2_text	บนฝั่ง
quest_befriend_a_pirate_text	ผูกมิตรกับโจรสลัด
quest_bribe_pirate_boat_text	ติดสินบนเรือโจรสลัด
quest_build_cathedral_text	สร้างอาสนวิหารบนแผ่นดินใหญ่
quest_build_composter_text	สร้างนักแต่งเพลง
quest_build_fish_trap_text	สร้างกับดักปลา
quest_build_greenhouse_text	สร้างเรือนกระจก
quest_build_mess_hall_text	สร้างห้องโถงระเบียบ
quest_build_rowboat_text	สร้างเรือพาย
quest_build_sloop_text	สร้างสลุบ
quest_catch_a_fish_text	จับปลา
quest_cook_crab_meat_text	ปรุงเนื้อปู
quest_crack_coconut_text	แตกมะพร้าว
quest_cure_poison_text	รักษาชาวบ้านที่ถูกพิษ
quest_drunk_villager_text	เลือกชาวบ้านเมา
quest_find_treasure_map_text	ค้นหาแผนที่ขุมทรัพย์
quest_find_treasure_text	ค้นหาสมบัติ
quest_forge_sacred_key_text	ปลอมกุญแจศักดิ์สิทธิ์
quest_get_2_bananas_text	รับกล้วย 2 ลูก
quest_have_shells_text	มี [count] เปลือกหอย
quest_island_relic_to_cathedral_text	นำของที่ระลึกของเกาะไปที่อาสนวิหาร
quest_kill_demon_lord_text	สังหารจอมมาร
quest_kill_kraken_text	ฆ่าคราเคน
quest_kill_momma_crab_text	ฆ่าแม่ปู
quest_make_ceviche_text	ทำเซวิเช่
quest_make_fish_trap_text	ทำกับดักปลา
quest_make_glass_text	ทำแก้ว
quest_make_gold_bar_text	ทำทองคำแท่ง
quest_make_rope_text	ทำเชือก
quest_make_rum_text	ทำเหล้ารัมหนึ่งขวด
quest_make_sail_text	แล่นเรือ
quest_make_sandstone_text	ทำหินทราย
quest_make_seafood_stew_text	ทำสตูว์ทะเล
quest_make_sushi_text	ทำซูชิ
quest_open_message_in_a_bottle_text	เปิดข้อความในขวด
quest_open_sacred_chest_text	เปิดหีบศักดิ์สิทธิ์
quest_poisoned_villager_text	มีชาวบ้านติดพิษ
quest_punch_driftwood_text	ต่อยไม้ระแนง
quest_train_a_fisher_text	ฝึกนักตกปลา
quest_train_captain_text	ฝึกกัปตัน
quest_unlock_all_island_packs_text	ปลดล็อคแพ็คเกาะทั้งหมด
questgroup_building	ก่อสร้าง
questgroup_cooking	ของว่าง
questgroup_exploration	ค้นพบ
questgroup_fighting	พลังและทักษะ
questgroup_island	เกาะแห่งความทะเยอทะยาน
questgroup_island_beginnings	ปล่อยเกาะ
questgroup_island_combat	เผชิญหน้าวงล้อม
questgroup_island_cooking	เกาะด้วง
questgroup_island_mainquest	ความลึกลับของเกาะ
questgroup_island_misc	เกาะอื่นๆ
questgroup_mainquest	ผังใหญ่
questgroup_other	อื่น
questgroup_resources	วิธีการและทรัพยากร
questgroup_starter	ยินดีต้อนรับ
questgroup_survival	อายุยืนยาว
rumor_eel_bait_description	เมื่อใช้กับดักปลา สามารถใช้กล้วยจับปลาไหลได้
rumor_eel_bait_name	เหยื่อปลาไหล
rumor_island_description	ทองและแก้วสามารถพบได้บนเกาะ
rumor_island_name	เกาะ
rumor_shark_bait_description	เมื่อใช้กับดักปลา สามารถใช้เนื้อดิบจับฉลามได้
rumor_shark_bait_name	เหยื่อฉลาม
rumor_tuna_bait_description	เมื่อใช้กับดักปลา สามารถใช้มะนาวเพื่อจับทูน่าได้
rumor_tuna_bait_name	เหยื่อปลาทูน่า
statuseffect_drunk_description	ลดความเร็วในทำงาน ลดโอกาสในโจมตี เพิ่มความเสียหายสูงสุด
statuseffect_drunk_lore	เพลิดเพลิน กับหน้าที่
statuseffect_drunk_name	เมา
statuseffect_poison_description	สร้างความเสียหายทุกๆ 60 วินาที
statuseffect_poison_lore	พิษ อันตรายไหลผ่านเส้นเลือด พวกเขาต้องยาแก้พิษโดยเร็วที่สุด
statuseffect_poison_name	ติดพิษ
statuseffect_spoiling_description	จะกลายเป็น Goop หลังจาก 1 จันทรา
statuseffect_spoiling_lore	ปล่อยทิ้งไว้กลางแดดนานเกินไป
statuseffect_spoiling_name	เน่า
statuseffect_stunned_description	ไม่สามารถโจมตีได้เป็นเวลา 5 วินาที
statuseffect_stunned_lore	แผลตอนนี้เจ็บมาก..
statuseffect_stunned_name	มึนงง
statuseffect_wellfed_description	เพิ่มความเร็วในทำงาน
statuseffect_wellfed_lore	อาหารมื้อใหญ่ก็ทำได้ดี
statuseffect_wellfed_name	เฟดแล้ว
label_sailing_off_full	ล่องเรือออก
language_dutch	ดัตช์
language_french	ฝรั่งเศส
language_german	เยอรมัน
language_italian	อิตาลี
language_polish	ขัด
language_spanish	สเปน
credits_aran	แนวคิด โปรแกรม ออกแบบ
credits_lisa	ศิลปะเกม
credits_sokpop	เกมโดย Sokpop
credits_local_heroes	รองรับหลายภาษา
credits_special_thanks	ขอขอบคุณเป็นพิเศษ
label_relic_brought_to_cathedral	พระธาตุถูกนำมาที่อาสนวิหาร
label_controls	ควบคุม
control_time_1	ความเร็ว 1x
control_time_2	ความเร็ว 5 เท่า
control_time_3	ความเร็ว 0x
control_time_pause	เวลาหยุดชั่วคราว
control_panel_collapse	สลับแถบด้านข้าง
control_zoom	ซูม
control_sell	ขายบัตร
control_time_toggle	สลับเวลา
control_pause	หยุดเกมชั่วคราว
control_grab	คว้า
control_activate_UI	เปิดใช้งาน UI
control_move	เคลื่อนไหว
control_snap_move	เคลื่อนที่แบบดึงดูด
control_snap_cards	ดึงดูดไปตามตาราง
label_keyboard_mouse	คีย์บอร์ดและเมาส์
label_controller	คอนโทรลเลอร์
label_waiting_for_input	กำลังรอป้อนข้อมูล
label_sellbox_description	ลาก์ดมาที่นี่เพื่อขาย คุณยังสามารถใช้ [action_sell] เพื่อขายการ์ดได้
label_toggle_panel_text	กดปุ่มนี้หรือกด [action_panel_collapse] เพื่อสลับแท็บภารกิจและแนวคิด
label_auto_pause_controller	หยุดเวลาชั่วคราวโดยอัตโนมัติเมื่อลาก์ด (คอนโทรลเลอร์):
label_auto_pause_keyboardmouse	หยุดเวลาชั่วคราวโดยอัตโนมัติเมื่อลาก์ด (คีย์บอร์ด):
label_binding	กำหนด [control]
label_accessibility	เข้าถึง
language_portuguese	โปรตุเกส บราซิล
language_chinese	จีน
language_japanese	ญี่ปุ่น
language_korean	เกาหลี
label_progress_stored	ความคืบหน้าจะถูกบันทึกไว้
label_go_to_island_prompt	คุณแน่ใจหรือว่าต้องเดินทางไปเกาะแห่งนี้? สิ่งนี้จะสิ้นสุดจันทราปัจจุบันและให้อาหารชาวบ้านของคุณก่อน
label_return_to_mainland_prompt	คุณแน่ใจหรือว่าต้องเดินทางกลับแผ่นดินใหญ่? สิ่งนี้จะสิ้นสุดจันทราปัจจุบันและให้อาหารชาวบ้านของคุณก่อน
label_not_enough_food_before_sailing	คุณต้องมีอาหารเพียงพอสำหรับชาวบ้านก่อนจึงจะสามารถออกเรือได้
idea_growth_status_11	สาหร่ายทะเลที่กำลังเติบโต
card_market_description	สามารถใช้ขายการ์ดได้ราคาดีมากกว่าปกติ
attackdamage_veryweak	อ่อนแอมาก
attackdamage_weak	อ่อนแอ
attackdamage_normal	ปกติ
attackdamage_strong	แข็งแกร่ง
attackdamage_verystrong	แข็งแรงมาก
attackdamage_extremelystrong	แข็งแกร่งเกินไป
attackspeed_veryslow	ช้ามาก
attackspeed_slow	ช้า
attackspeed_normal	ปกติ
attackspeed_fast	เร็ว
attackspeed_veryfast	เร็วมาก
attackspeed_extremelyfast	รวดเร็วมาก
card_amulet_of_forest_description	คุณรู้สึกถึงพลังรักษาของธรรมชาติที่ไหลผ่านคุณ
card_amulet_of_forest_name	เครื่องรางแห่งป่า
card_amulet_of_mountain_description	มันเชื่อมต่อคุณกับผืนดิน
card_amulet_of_mountain_name	เครื่องรางภูเขา
card_archer_description	ไม่ควรเข้าใกล้เกินไป
card_archer_name	อาร์เชอร์
card_axe_description	สำหรับสับไม้และสัตว์ประหลาด
card_axe_name	ขวาน
card_bear_claw_description	ถุงมือ Wolverine ราคาถูก
card_bear_claw_name	กรงเล็บหมี
card_blowpipe_description	เป่าให้แรงที่สุดเท่าที่จะทำได้
card_blowpipe_name	หลอดเป่าลูกดอก
card_blunderbuss_description	ระวัง! อาจระเบิดใส่หน้าตัวเองได้
card_blunderbuss_name	ปืนปากแตร
card_bone_spear_description	เวอร์ชันที่น่ากลัวของหอกธรรมดา
card_bone_spear_name	หอกกระดูก
card_bone_staff_description	กระดูกที่มีความสามารถพิเศษ
card_bone_staff_name	ไม้เท้ากระดูก
card_boomerang_description	กลับมาหาคุณเสมอ
card_boomerang_name	บูมเมอแรง
card_bow_description	ทำให้คุณรู้สึกเหมือนโรบินฮู้ด
card_bow_name	ธนู
card_broken_bottle_description	ถูกตัดออก เพื่อเหตุผลบางอย่าง
card_broken_bottle_name	ขวดแตก
card_builder_description	สร้างอาคารเร็วกว่า
card_builder_name	ช่างก่อสร้าง
card_bunny_hat_description	มันน่ารัก!
card_bunny_hat_name	หมวกกระต่าย
card_chainmail_armor_description	ยุคคลาสสิกในยุคกลาง
card_chainmail_armor_name	เกราะลูกโซ่
card_club_description	ไม่ได้ใช้สำหรับเล่นเบสบอล
card_club_name	กระบอง
card_crab_scale_armor_description	กระดองที่ไม่สามารถถูกเจาะได้
card_crab_scale_armor_name	ชุดเกราะเกล็ดปู
card_crossbow_description	ปืนสำหรับลูกธนู
card_crossbow_name	หน้าไม้
card_dark_amulet_description	พลังแห่งความมืดทำให้คุณแข็งแกร่งขึ้น
card_dark_amulet_name	เครื่องรางแห่งความมืด
card_dark_elf_description	เวอร์ชั่นอีโมของเอลฟ์ธรรมดา
card_dark_elf_name	ดาร์กเอลฟ์
card_demon_sword_description	ดาบที่ยอดเยี่ยมที่ปีศาจใช้เอง
card_demon_sword_name	ดาบปีศาจ
card_elf_archer_description	เอลฟ์เป็นนักธนูที่เก่งที่สุด
card_elf_archer_name	เอลฟ์ อาร์เชอร์
card_elf_description	ไม่ได้ทำงานซานตาคลอสอีกแล้ว
card_elf_name	เอลฟ์
card_enchanted_shroom_description	มันเป็นไม้กวาดวิเศษ
card_enchanted_shroom_name	ไม้กวาดวิเศษ
card_ent_description	ต้นไม้พูดและเดินได้
card_ent_name	ภูติไม้
card_feral_cat_description	มันมีโรคพิษสุนัขบ้าหรือเปล่า? อาจจะ!
card_feral_cat_name	แมวดุร้าย
card_fire_cloak_description	ไฟลุกอยู่!
card_fire_cloak_name	เสื้อคลุมไฟ
card_frog_helmet_description	ให้พลังกบแก่คุณ
card_frog_helmet_name	หมวกกบ
card_frog_man_description	คนที่ทำจากกบ
card_frog_man_name	มนุษย์กบ
card_ghost_description	จะแสดงตัวเฉพาะในภาพถ่ายคุณภาพต่ำเท่านั้น
card_ghost_name	ผี
card_giant_snail_description	ชาวฝรั่งเศสคงจะคลั่งไคล้สิ่งนี้
card_giant_snail_name	หอยทากยักษ์
